# Knowledge Base Generated from WordNet
# Format: Premises -> Conclusion | Label
# Contains both AND (&) and OR (v) rules.

berlin -> limousine | Rule_PhanLoai_IsA_limousine_0
brougham -> sedan | Rule_PhanLoai_IsA_sedan_0
cab v limousine v used-car v bus -> car | Rule_PhanLoai_OR_car_24
file allocation table v calendar -> table | Rule_PhanLoai_OR_table_4
funny wagon -> ambulance | Rule_PhanLoai_IsA_ambulance_0
gas guzzler v coupe v pace car v beach wagon -> car | Rule_PhanLoai_OR_car_4
gypsy cab v minicab -> cab | Rule_PhanLoai_OR_cab_0
hatchback v sedan v stock car v sports car -> car | Rule_PhanLoai_OR_car_16
horseless carriage v sport utility v ambulance -> car | Rule_PhanLoai_OR_car_28
minicab -> minicar | Rule_PhanLoai_IsA_minicar_0
minicar v compact v hot rod v cruiser -> car | Rule_PhanLoai_OR_car_12
mortality table -> actuarial table | Rule_PhanLoai_IsA_actuarial_table_0
panda car -> cruiser | Rule_PhanLoai_IsA_cruiser_0
periodic table v contents v actuarial table v correlation table -> table | Rule_PhanLoai_OR_table_0
perpetual calendar -> calendar | Rule_PhanLoai_IsA_calendar_0
racer v hardtop v model t v minivan -> car | Rule_PhanLoai_OR_car_20
roadster v convertible v subcompact v touring car -> car | Rule_PhanLoai_OR_car_0
shooting brake -> beach wagon | Rule_PhanLoai_IsA_beach_wagon_0
stabilizer bar & bumper & car door -> car | Rule_CauTao_car
stanley steamer v jeep v electric v loaner -> car | Rule_PhanLoai_OR_car_8
stock car v finisher -> racer | Rule_PhanLoai_OR_racer_0
